0013	, 	0013	00:01:58.85	00:01:58.90	SY970B1972d.m4a
0013	neghi!	0013	00:01:58.90	00:01:59.76	SY970B1972d.m4a
0014	Neghigu	0014	00:02:04.29	00:02:05.00	SY970B1972d.m4a
0014	 una.	0014	00:02:05.00	00:02:05.78	SY970B1972d.m4a
0015	Kulusiq	0015	00:02:08.72	00:02:09.50	SY970B1972d.m4a
0015	 neghtuq.	0015	00:02:09.50	00:02:10.40	SY970B1972d.m4a
0016	Ata	0016	00:02:15.25	00:02:15.76	SY970B1972d.m4a
0016	 neghtuq.	0016	00:02:15.76	00:02:16.66	SY970B1972d.m4a
0017	Naa	0017	00:02:18.83	00:02:19.40	SY970B1972d.m4a
0017	 neghtuq.	0017	00:02:19.40	00:02:20.33	SY970B1972d.m4a
0018	Atankuk	0018	00:02:26.90	00:02:27.80	SY970B1972d.m4a
0018	 naankuk	0018	00:02:27.80	00:02:28.50	SY970B1972d.m4a
0018	 neghtuk.	0018	00:02:28.50	00:02:29.40	SY970B1972d.m4a
0019	Neghi,	0019	00:02:32.88	00:02:33.55	SY970B1972d.m4a
0019	 qikmiq,	0019	00:02:33.55	00:02:34.20	SY970B1972d.m4a
0019	 neghi!	0019	00:02:34.20	00:02:35.08	SY970B1972d.m4a
0020	Qikmiq	0020	00:02:40.71	00:02:41.35	SY970B1972d.m4a
0020	 neghtuq.	0020	00:02:41.35	00:02:42.35	SY970B1972d.m4a
0021	Atam	0021	00:02:46.00	00:02:46.60	SY970B1972d.m4a
0021	 qikmii	0021	00:02:46.60	00:02:47.30	SY970B1972d.m4a
0021	 neghtuq.	0021	00:02:47.30	00:02:48.24	SY970B1972d.m4a
0022	Kulusiimllu	0022	00:02:53.80	00:02:55.05	SY970B1972d.m4a
0022	 qikmii	0022	00:02:55.05	00:02:55.75	SY970B1972d.m4a
0022	 neghtuq.	0022	00:02:55.75	00:02:56.66	SY970B1972d.m4a
